ds,yhat,yhat_lower,yhat_upper
2023-05-30,26719.399637075177,17873.401090278,34555.949040600164
2023-05-31,26871.888171791965,18490.42431753255,35413.79852234696
2023-06-01,26737.281806429266,18160.68780961985,35208.835581836414
2023-06-02,26740.10248744752,18562.179818182303,35454.75170928749
2023-06-03,26733.872916228273,18740.981906967765,34478.44566886661
2023-06-04,26670.463036235687,18908.091439649634,35179.05302868458
2023-06-05,26734.701113430907,18352.482111836143,34889.34103504627
2023-06-06,26622.6795069571,18242.721077843424,34224.236956024164
2023-06-07,26724.779043535116,18503.331905185376,34454.67510193938
2023-06-08,26527.63488947469,18178.75862200982,34254.56657801245
2023-06-09,26457.18449229801,18208.321817843826,34551.75296908831
2023-06-10,26368.73631800117,18639.65953530926,33741.18378096624
2023-06-11,26216.271948444723,18780.757415024047,34803.444142125154
2023-06-12,26187.003482454653,18117.064094983107,33871.932264932046
2023-06-13,25979.617790719687,17956.38441128515,34072.417115805256
2023-06-14,25987.233202981897,17900.14275279869,33355.45877429941
2023-06-15,25699.293351899953,17344.45784480453,34130.11170949619
2023-06-16,25544.540690524154,17460.989460712808,33668.117975722926
2023-06-17,25381.010415032317,16891.27925884739,32670.7067652979
2023-06-18,25165.25936838207,16814.892894366105,33017.742921850164
2023-06-19,25086.853830127475,17089.62374258403,33625.31644868297
2023-06-20,24846.54960142277,16663.94014997801,33329.69756895437
2023-06-21,24839.191669753578,17274.534503319326,33357.27335825742
2023-06-22,24555.55968533063,16432.68709558457,32674.421792941623
2023-06-23,24425.30303536251,16349.901762304968,32082.080200275155
2023-06-24,24306.907245768685,16795.23716015054,32941.19096920251
